Restaurant,Overall Rating,Cleaned Review,Review Rating,Sentiment Score,Sentiment,Positive %,Neutral %,Negative %
Taqueria Guadalajara,4.6,wife arrived line door always good sign still helped quickly ordered different taco arrived table done scoping complimentary chip salsa bar everything super delicious tasted freshly made well definitely coming back,5,0.3296296296296296,Positive,100.0,0.0,0.0
Taqueria Guadalajara,4.6,really really good asada fry used visit spot frequently davis revisiting couple year later quality still hold always loved fresh chip salsa pastor taco great little greasier side definitely dont miss asada fry tho,5,0.3015625,Positive,100.0,0.0,0.0
Taqueria Guadalajara,4.6,great quick stop line door always good sign move quickly lot taco burrito quesadilla etc option loved selfserve chip bar many salsatoppings option price felt affordable would recommend,5,0.561111111111111,Positive,100.0,0.0,0.0
Taqueria Guadalajara,4.6,got back line ordering first time guads never let one best thing happen davis price portion insane also absolutely delicious meat tender flavorful taste good mission restaurant sf best thing place unlimited chip salsa bar keep pumping saw old man take like container salsa thought bit selfish also understand good,5,0.325,Positive,100.0,0.0,0.0
Taqueria Guadalajara,4.6,busy noisy place great expensive food le crowded breakfast call ahead food ready minute walk reaction gluten informed ordering celiac line door past hot wing place call ahead skip line,5,0.10000000000000002,Positive,100.0,0.0,0.0
Village Bakery,4.5,love order take pizza enjoy option pick delicious dessert like cream puff tart love convienence grabbing freshly baked bread well,5,0.5399999999999999,Positive,100.0,0.0,0.0
Village Bakery,4.5,ordered pizza phone friday night playdate house child ate first pizza husband took piece said crust tasted strange later night tested second pizza crust burnt parchment stuck dough ended taking video pizza throwing away town weekend couldnt return second pizza thinking receipt video enough called village bakery later talked manager offered next order inconvenience said bring pizza back replacement otherwise cant help picking pizza training girl dont know related super disappointed ordering pizza bakery every week many year guess wont anymore,1,0.021794871794871794,Positive,100.0,0.0,0.0
Village Bakery,4.5,slice shrinking day go pizza spot long trip slice got ta better,3,0.225,Positive,100.0,0.0,0.0
Village Bakery,4.5,good pizza baked good green star village bakery one first place youll see get amtrak train convenient pitstop trip nice outdoor seating shade man counter chefowner friendly helpful slice veggie pizza mixed berry scone food looked appetizing goodlooking eclair cream puff tried exercise selfcontrol selection veggie pizza great nicely caramelized onion zucchini pepper etc heavy sauce cheese cheese feta really worked well veggie scone really delicious crumbly light dusted icing sugar animated flavor blackberry blueberry im giving village bakery green star social environmental impact based reason use local fruit veggie possible everything made house pizza use olive oil crust unlike pizza place olive oil generally sustainable product source organic tomato pizza sauce season affordable bakery side dairy come crystal creamery ive read id place somewhere middle nearly good organic creamery like strauss bad dean food berkeley farm much waste generation pizza served paper plate bakery item paper bag unbleached recycled paper would improvement think utensil lid conventional plastic two three pizza sale vegetarian ever written green star review please contact done youd like know,5,0.19061904761904758,Positive,100.0,0.0,0.0
Village Bakery,4.5,baked good always fresh really tasty everything made day customer service always great complete selection bread muffin dessert also pizza sourdough baguette well french baguette even baguette soft baked,5,0.31428571428571433,Positive,100.0,0.0,0.0
