Restaurant,Overall Rating,Cleaned Review,Review Rating,Sentiment Score,Sentiment,Positive %,Neutral %,Negative %
My Burma,4.5,first time trying burma dinner family food excellent loved everything ordered atmosphere nice get great service good family date night definitely back pineapple fried rice lemongrass chicken garlic chili shrimp,5,0.43124999999999997,Positive,100.0,0.0,0.0
My Burma,4.5,great sharing burma go spot group dinner friendly staff shareable platter great cocktail everyone always leaf happy good experience look back favorite dish green tea leaf salad look forward dessert fried perfection soft flaky pratha sweet pair perfectly ice cream likewise fried banana go wrong dessert,5,0.39375000000000004,Positive,100.0,0.0,0.0
My Burma,4.5,decent clean restaurant went way lake tahoe seeing google map dont burmese restaurant germany person born burma missed food took chance samosa noodle salad nice also good tea leaf salad burmese pad thai disappointing obviously made tomato ketchup,3,0.20555555555555557,Positive,100.0,0.0,0.0
My Burma,4.5,one best burmese food definitely one popular spot davis service always great mari served u good enjoyed tea leaf salad samusa pumpkin curry noodle fried rice price bit expensive portion huge two people item serve people aware much order,5,0.3950000000000001,Positive,100.0,0.0,0.0
My Burma,4.5,got warm welcome group people dinner seat available even busy night food ok guess trying burmese cuisine first time service quite empressive comfort zone host service person nice friendly even cute saw bar open kitchen see seat believe best place hangout frienda family dinner birthday celebration occasion family vegetarian choice even vegan service smooth longer time wait price competative location also perfect heart davis ca highly recommended,5,0.47750000000000004,Positive,100.0,0.0,0.0
Yang Kee Dumpling,4.8,great goto dumpling spot family love place plenty parking near tesla charging station plenty parking backside near safeway everything excellent vibe really good server excellent food come fast warning get busy lunch keep mind cant go wrong dumpling best known watch hot soup eat carefully enjoy,5,0.4346153846153846,Positive,100.0,0.0,0.0
Yang Kee Dumpling,4.8,family came dinner wednesday evening around pm place pretty busy always good sign table open able get seated right away otherwise tablet next door left walk put name table wanting eat keep hearing place offered xiao long bao soup dumpling generally great food well didnt disappoint menu lot yummy offering difficult choose item order settled pork soup dumpling pork chive dumpling salt pepper sparerib dry fried chow fun wbeef order pan fried pork bun take home dinner soup dumpling juicy like suppose good flavor vinegar dipping sauce overly vinegary pork chive dumpling little different pork chive dumpling dim sum restaurant good prefer dim sum kind dry fry chow fun w beef excellent flavor salty bland better chow fun locally salt pepper sparerib couldnt believe tender breading slight crunch great flavor overpowering particular spice wife kid favorite dish atmosphere big restaurant fair amount seating nicely decorated inside best part glass enclosed kitchen watch magic dumpling making happen food came fast server attentive parking large parking lot neighboring business time least tesla supercharger parking lot well tesla comparable ev charge dinner wife want come back need come davis couple week,5,0.26371951219512185,Positive,100.0,0.0,0.0
Yang Kee Dumpling,4.8,loved shrimp soup dumpling milk tea pork dumpling amazing bbq pork bao little sweet husband loved custard bao bun great way finish meal,5,0.4937499999999999,Positive,100.0,0.0,0.0
Yang Kee Dumpling,4.8,local ashamed took long try yang kee food gorgeous delicious service prompt attentive interior design warm inviting bbq pork bun came piping hot extremely satisfying sweet fried wonton dumpling chile oil incredible wave savory flavor blend pleasant low heat oil black pepper beef dumpling succulent garnished beautifully micro shred carrot red cabbage elevated davis dining experience miss,5,0.40444444444444444,Positive,100.0,0.0,0.0
Yang Kee Dumpling,4.8,new place davis decor nice like glass section one see personnel prepping dumpling service could improved bit server argued order something didnt end nd ok kept brought food general really good dumpling great different sauce added extra flavor also additional item menu allowing forward explore veggie chow mei tasty place packed may good make reservation ahead time overall glad kind high quality place popping davis,5,0.3651048951048951,Positive,100.0,0.0,0.0
Sam's Restaurant,4.6,purchased bowl beef chicken portion huge bread taste really good yet food greasy quality beef shawarma low chicken bad though service low restaurant indoor outdoor really clean recommend restaurant considering price quality,3,-0.05416666666666664,Negative,60.0,0.0,40.0
Sam's Restaurant,4.6,brightly lit interior coupled sizzling kitchen first thing caught attention entered sam couldnt help feel relaxed simple black chair brown table hide intricate persianstyle rug beneath cook quickly served food beef rice topped sumac onion simple recyclable container plastic utensil diet dr pepper accompanied delicious meal,4,0.30238095238095236,Positive,60.0,0.0,40.0
Sam's Restaurant,4.6,love super crispy moist falafel fresh salad excellent quality veggie pickle flavorful hummus side also excellent drizzle olive oil veggie pickle dip along warm flat bread easily top falafel cant wait return another go try baklava,5,0.5260416666666667,Positive,60.0,0.0,40.0
Sam's Restaurant,4.6,ordered chicken kabob salad kabob dry uneatable picked wanted side portion shawarma addd protein salad made buy whole pita dish shawarma good really tasty order two dish eat one dish disappointed service food,2,-0.05277777777777778,Negative,60.0,0.0,40.0
Sam's Restaurant,4.6,amazing people fantastic food great portion welcoming environment couldnt ask anything worth trying driving hr im happy full,5,0.5416666666666667,Positive,60.0,0.0,40.0
Sit Lo Saigon,4.5,absolutely delicious best pho ever eaten fresh generous portion delicious highquality meat broth clear warm tasty thai iced tea surprisingly flavorful really impressed,5,0.7125,Positive,100.0,0.0,0.0
Sit Lo Saigon,4.5,excellent food pho noodle excellent ordered pho hanoi saigon special good lot flavor tasty portion generous still half go definitely back,5,0.48174603174603176,Positive,100.0,0.0,0.0
Sit Lo Saigon,4.5,solid choice vietnamese pho honestly think best one davis came opened wasnt impressed year quality pho ingredient gotten better quick serve food asked extra ingredient waiter quite generous noodle excellent ribeye pho would recommend soup hot really important family enjoyed pho parking issue plenty parking edge downtown davis atmosphere inside cozy casual enter order pay get seated havent tried item food authentic opinion convenient havent give try surprised speed food came quality pho enjoy,4,0.36770833333333336,Positive,100.0,0.0,0.0
Sit Lo Saigon,4.5,went lunch whim discovered place food good plentiful accoutrement table pho served fresh bean sprout lemon onion jalapeno,5,0.5,Positive,100.0,0.0,0.0
Sit Lo Saigon,4.5,day slope god send enjoy solid bowl warm pho went pho hanoi wok fried ribeye w garlic broth rich flavor wok fried ribeye aromatics opted thicker fresh made house noodle help pick rich broth bite note slight kick added thai chili,5,0.26904761904761904,Positive,100.0,0.0,0.0
Tasty Palace 品香阁,4.1,order dish sichuan hunan style cuisine boiled beef lamb baggage griddle dish good cantonese american style chinese dish wonton soup sweet sour pork chop skippable takeaway make good authentic chinese dish stay away american one upstair seems ktv,4,0.23333333333333328,Positive,100.0,0.0,0.0
Tasty Palace 品香阁,4.1,lunch tasty palace dining room far hot left door wide open didnt turn air conditioning food fine serf beef chow fun steamed rice service ok overall gave star,1,0.16296296296296295,Positive,100.0,0.0,0.0
Tasty Palace 品香阁,4.1,fast kind service food good familiar northern style chinese food tender meat stir fry would recommend bun get something else instead dough fine enough filling lackluster cheap place nice spicy good people split,4,0.3991666666666666,Positive,100.0,0.0,0.0
