Restaurant,Overall Rating,Cleaned Review,Review Rating,Sentiment Score,Sentiment,Positive %,Neutral %,Negative %
Sudwerk Brewing Co.,4.2,great service great drink food best soft pretzel beer cheese ive ever,5,0.675,Positive,80.0,0.0,20.0
Sudwerk Brewing Co.,4.2,brewery dining portion added really nice place come food good beer chicken sandwich generous portion pretty good burger fry also fresh good nothing outstanding good pub food sat outside enjoy fresh air music band little loud difficult enjoy kind conversation could go inside wanted quieter dining experience,3,0.2919117647058823,Positive,80.0,0.0,20.0
Sudwerk Brewing Co.,4.2,first time going since remodel say love place lot outdoor seating family friendly fresh look game room kiddos get bored game outside like large connect four service great friendly super helpful wait staff use local company like village bakery source ingredient menu seasonal item great different menu weekend brunch hour party six make reservation quite busy friday evening french onion soup little gem salad delicious highly recommend brussel sprout jalapeo artichoke dip still great beer regular bar serve well grab favorite beer take home can summer music outside seating dock recommend sudwerks havent since remodel first time,5,0.2108047619047619,Positive,80.0,0.0,20.0
Sudwerk Brewing Co.,4.2,ok place go beer want enjoy brew amidst gigantic noisy operation next amtrak imo totally abysmal food server would serve hyperfried chicken sandwich let alone cook would let exit kitchen beyond fry also cold theyd sold beer wanted try least concern seriously seriously disappointed,2,-0.16874999999999998,Negative,80.0,0.0,20.0
Sudwerk Brewing Co.,4.2,first time stopping brewery im really huge fan double ipas released one previous day new overgrowth absolutely amazing fried chicken sandwich delicious well atmosphere ambience fantastic im looking forward coming back,5,0.201969696969697,Positive,80.0,0.0,20.0
Open Rice Kitchen,4.1,unexpectedly good varied chinese food inexpensive price generous portion jorge front incredibly kind prompt checked u often would definitely come back,5,0.25999999999999995,Positive,100.0,0.0,0.0
Open Rice Kitchen,4.1,pork belly fried rice immaculate salty pork belly mixed scallion along beautiful sunny side egg bring bring together dollar service amazing well male cashier also extremely respectful kind,5,0.42500000000000004,Positive,100.0,0.0,0.0
Open Rice Kitchen,4.1,amazing place food super affordable well balanced someone told microwave quality misinformation freh veggie great taste great portion,5,0.6333333333333333,Positive,100.0,0.0,0.0
Open Rice Kitchen,4.1,fantastic deal one best value meal ca beef soup fry killer portion student id eat every day drink great,5,0.7333333333333334,Positive,100.0,0.0,0.0
Open Rice Kitchen,4.1,waited hour watched many people served ordered friendly food ok great wont back,1,0.43499999999999994,Positive,100.0,0.0,0.0
