rating,review_count,address,cuisine,price,yelp_url
3.9,103,"217 E St, Davis, CA 95616","['New American', 'Burgers', 'Beer Bar']",$$,https://www.yelp.com/biz/JPKn6ekNu64PcvYSIooyWA
3.9,663,"109 E St, Davis, CA 95616",['Ramen'],$$,https://www.yelp.com/biz/R_iyHB2R5_tk3lqUYFp00w
3.6,799,"139 G St, Davis, CA 95616","['Italian', 'Pizza']",$$,https://www.yelp.com/biz/5pWzNr4QQtQQZNXZRmpM3w
3.7,331,"226 F St, Davis, CA 95616","['Italian', 'Cocktail Bars', 'Salad']",$$,https://www.yelp.com/biz/QLoNOvp9fuHwJxfQyOw4Fg
3.9,1453,"129 E St, Davis, CA 95616",['Chinese'],$$,https://www.yelp.com/biz/0ooCUkF0AQDabilcbBvsiQ
3.9,131,"500 1st St, Ste 9, Davis, CA 95616","['Chicken Shop', 'Sandwiches']",$$,https://www.yelp.com/biz/vycAg_3kzUem0iNV5i3RWA
3.8,2369,"403 3rd St, Davis, CA 95616","['Burgers', 'Bars']",$$,https://www.yelp.com/biz/L4e-5b7nyJsdZdi4PREnsQ
3.5,775,"234 D St, Davis, CA 95616",['New American'],$$,https://www.yelp.com/biz/9W7YjwC7RxibXCfBhUec3g
3.7,239,"1753 Research Park Dr, Davis, CA 95618","['Dim Sum', 'Cantonese', 'Seafood']",$$,https://www.yelp.com/biz/sM0KPs-ognvqXhHpTraBDw
3.7,1146,"117 E St, Davis, CA 95616","['Thai', 'Noodles']",$$,https://www.yelp.com/biz/1g8fx1DXNpf7RTBuzcd-lA
3.9,196,"301 G St, Davis, CA 95616","['Vietnamese', 'Noodles']",$$,https://www.yelp.com/biz/3yAjUfnfitvaTVJeZmkskw
3.7,195,"206 3rd St, Davis, CA 95616","['Cajun/Creole', 'Asian Fusion']",$$,https://www.yelp.com/biz/aMp92JmMuDowzWJ3dK404Q
3.8,1151,"330 3rd St, Davis, CA 95616","['Breakfast & Brunch', 'Creperies', 'Sandwiches']",$$,https://www.yelp.com/biz/RXomRj2iuax6tLVQ2rwcKQ
3.7,111,"500 1st St, Ste 13a, Davis, CA 95616","['Mexican', 'Salad', 'Burgers']",$$,https://www.yelp.com/biz/HPOQjQVP4FgkNEO7j8b1VA
